piu,total_plazas
Jodhpur,27
MoRTH,24
Dausa,23
Bhiwani,23
Kota,19
Jaipur,18
Sonepat,18
Ghaziabad,17
Hisar,15
Nagpur,14
Gwalior,14
Udaipur,13
Chandigarh,13
Ongole,13
Gorakhpur,13
Lucknow,13
Raebareli,13
Palanpur,13
Ahmedabad,12
Indore,12
Anantpur,12
Ajmer,11
Salem,11
Solapur,11
Rajkot,11
Prayagraj,11
Jaisalmer,11
Bhopal,11
Hyderabad,10
Nashik,10
Vishakhapatnam,10
Bikaner,10
Keonjhar,10
Trichy,9
Kanpur,9
Bangalore,9
Sambalpur,9
EPE,9
Bhatinda,9
Hanumangarh,9
Aurangabad,9
Mysuru,9
Katni,9
Tirupati,9
Jalpaiguri,9
Chitradurga,8
"Amravati - NGP",8
Amritsar,8
Vijayawada,8
Rajahmundry,8
Darbhanga,8
Coimbatore,8
Kadapa,8
Varanasi,8
Karaikudi,8
Ranchi,8
Surat,7
Warangal,7
Gulbarga,7
Pune,7
Kamareddy,7
Dharwad,7
Baghpat,7
Ludhiana,7
Chhatarpur,7
Chindwara,7
Nanded,7
Korba,7
Ratlam,7
Viluppuram,6
Ambala,6
Nellore,6
Moradabad,6
Godhra,6
Purnia,6
Gandhidham,6
Agra,6
Abhanpur,6
Chittorgarh,6
Sohna,6
Bareilly,6
Bhavnagar,6
Yavatmal,6
Ahmednagar,6
Patna,6
Jabalpur,6
Chandikhole,6
Kolhapur,5
Krishnagiri,5
Mathura,5
Hasan,5
Sagar,5
Dhule,5
Jalandhar,5
Kolkata,5
Durgapur,5
Malda,5
Meerut,5
Aligarh,5
Roorkee,5
Bilaspur,5
Dhanbad,5
Hospet,4
Sasaram,4
Madurai,4
Tumkur,4
Dindigul,4
Thanjavur,4
Puducherry,4
Ayodhya,4
Jhansi,4
"Raipur 1",4
Mangalore,4
Mandi,4
Rudrapur,4
Chandrapur,4
Gaya,4
Khammam-I,4
Guwahati,4
Bongoigaon,4
Shillong,4
Chhapra,4
Ujjain,4
Kharagpur,3
"Amaravati (AP)",3
Palakkad,3
Tuticorin,3
Rewari,3
Udhampur,3
Washim,3
Pandharpur,3
Khammam-II,3
Gajwel,3
Chennai-2,3
Chittoor,3
Honanvar,3
Chennai,3
Nagercoil,3
Villupuram,3
Dhenkanal,3
Begusarai,3
Munger,3
Motihari,3
Hazaribagh,3
Harda,3
Vizianagaram,3
"Ekta Nagar",2
Thane,2
Dwarka,2
Raipur,2
Cochin/Kochi,2
Bhubaneswar,2
Jammu,2
Ramban,2
Najibabad,2
Jalgaon,2
Vidisha,2
Mancherial,2
Chengalpattu,2
Kancheepuram,2
Krishnagar,2
Haflong,2
Kannauj,2
Purulia,2
Daltonganj,2
"EBxapnregsaslowraey Expressway",1
Berhampur,1
Shimla,1
Srinagar,1
Azamgarh,1
"Vasant Vihar",1
Cochin-II,1
Thiruvananthapuram,1
"Kolkata North",1
Behrampur,1
Deoghar,1
Kozhikode,1
Khandwa,1
Bagalkot,1
Hamirpur,1
Gumla,1
Kurnool,1
